SVM,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC,C,Gamma,Kernel Type
$K_0$,0.85393258427,0.619047619048,8,4,4,5,0.611111111111,0.1,0.0001,Linear
$K_1$,0.865168539326,0.904761904762,11,1,1,8,0.902777777778,0.1,0.0001,Linear
$K_2$,0.876404494382,0.666666666667,6,6,1,8,0.694444444444,0.1,0.0001,Linear
$K_3$,0.877094972067,0.85,11,0,3,6,0.833333333333,0.01,0.0001,Linear
$K_4$,0.860335195531,0.7,7,4,2,7,0.707070707071,0.01,0.0001,Linear
$K_5$,0.854748603352,0.65,7,4,3,6,0.651515151515,0.1,0.0001,Linear
$K_6$,0.888888888889,0.736842105263,10,1,4,4,0.704545454545,0.01,0.0001,Linear
$K_7$,0.838888888889,0.947368421053,10,1,0,8,0.954545454545,0.1,0.0001,Linear
$K_8$,0.85,0.736842105263,9,2,3,5,0.721590909091,0.1,0.0001,Linear
$K_9$,0.866666666667,0.736842105263,9,2,3,5,0.721590909091,0.1,0.0001,Linear
