Logit,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC,Tol,C
$K_0$,0.820224719101,0.714285714286,10,2,4,5,0.694444444444,1e-05,1
$K_1$,0.808988764045,0.857142857143,11,1,2,7,0.847222222222,1e-05,100
$K_2$,0.808988764045,0.52380952381,8,4,6,3,0.5,1e-05,0.1
$K_3$,0.798882681564,0.85,11,0,3,6,0.833333333333,1e-05,0.1
$K_4$,0.793296089385,0.8,9,2,2,7,0.79797979798,1e-05,1000
$K_5$,0.804469273743,0.9,10,1,1,8,0.89898989899,1e-05,1000
$K_6$,0.766666666667,0.789473684211,11,0,4,4,0.75,1e-05,10
$K_7$,0.822222222222,0.684210526316,8,3,3,5,0.676136363636,1e-05,1
$K_8$,0.827777777778,0.578947368421,6,5,3,5,0.585227272727,1e-05,100
$K_9$,0.783333333333,0.842105263158,10,1,2,6,0.829545454545,1e-05,0.1
