NN,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC,nh,alpha
$K_0$,0.567415730337,0.571428571429,12,0,9,0,0.5,11,1.0
$K_1$,0.567415730337,0.571428571429,12,0,9,0,0.5,4,1.0
$K_2$,0.567415730337,0.571428571429,12,0,9,0,0.5,10,0.1
$K_3$,0.569832402235,0.55,11,0,9,0,0.5,8,1.0
$K_4$,0.569832402235,0.55,11,0,9,0,0.5,9,0.1
$K_5$,0.569832402235,0.55,11,0,9,0,0.5,10,0.1
$K_6$,0.566666666667,0.578947368421,11,0,8,0,0.5,10,0.01
$K_7$,0.572222222222,0.578947368421,11,0,8,0,0.5,11,1e-05
$K_8$,0.566666666667,0.578947368421,11,0,8,0,0.5,10,0.1
$K_9$,0.566666666667,0.578947368421,11,0,8,0,0.5,10,0.1
