SVM,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC,Precision,Recall,C,Gamma,Kernel
$K_0$,0.8158,0.7634,63,17,14,37,0.7565,0.9306,0.7614,0.01,0.0001,Linear
$K_1$,0.8031,0.8244,73,12,11,35,0.8098,0.9608,0.6364,0.01,0.0001,Linear
$K_2$,0.8048,0.8397,77,14,7,33,0.8356,0.8966,0.7761,0.01,0.0001,Linear
$K_3$,0.8065,0.8168,69,10,14,38,0.8021,0.8696,0.8696,0.01,0.0001,Linear
$K_4$,0.8081,0.7939,69,8,19,35,0.7721,0.8654,0.7759,0.01,0.0001,Linear
$K_5$,0.809,0.855,75,7,12,37,0.8349,0.5111,0.6765,0.01,0.0001,Linear
$K_6$,0.8115,0.8168,65,13,11,42,0.8129,0.5135,0.6129,0.01,0.0001,Linear
$K_7$,0.8081,0.8168,68,16,8,39,0.8197,0.5625,0.6,0.01,0.0001,Linear
$K_8$,0.8124,0.7557,68,15,17,31,0.7326,0.4146,0.6538,0.01,0.0001,Linear
$K_9$,0.8032,0.7615,62,8,23,37,0.7512,0.5294,0.6429,0.01,0.0001,Linear
